Price,Close,High,Low,Open,Volume,Returns,Volatility-20d
Ticker,CL=F,CL=F,CL=F,CL=F,CL=F,,
Date,,,,,,,
2016-10-05,49.83000183105469,49.970001220703125,49.099998474121094,49.2599983215332,520070,0.02341349838774387,0.4464656617579818
2016-10-06,50.439998626708984,50.630001068115234,49.33000183105469,49.650001525878906,547915,0.012241556757763172,0.4198039060565145
2016-10-07,49.810001373291016,50.7400016784668,49.400001525878906,50.59000015258789,618809,-0.012490033119952781,0.39769803107558915
2016-10-11,50.790000915527344,51.540000915527344,50.38999938964844,51.099998474121094,765608,0.019674754370953007,0.4011291993806098
2016-10-12,50.18000030517578,51.16999816894531,49.88999938964844,50.84000015258789,533884,-0.01201025003653966,0.38506707768806014
2016-10-13,50.439998626708984,50.59000015258789,49.36000061035156,50.0,740676,0.005181313669828436,0.36195048068782565
2016-10-14,50.349998474121094,51.13999938964844,49.900001525878906,50.58000183105469,519431,-0.0017843012497671396,0.3634742672922649
2016-10-17,49.939998626708984,50.58000183105469,49.470001220703125,50.22999954223633,418723,-0.008142996223184373,0.35401537951750683
2016-10-18,50.290000915527344,50.779998779296875,49.7599983215332,50.040000915527344,192803,0.007008456116199602,0.353985539097133
2016-10-19,51.599998474121094,51.93000030517578,50.689998626708984,50.77000045776367,132427,0.026048867264770292,0.3593520786811746
2016-10-20,50.43000030517578,51.58000183105469,50.25,51.400001525878906,548947,-0.02267438378960618,0.3511543203763665
2016-10-21,50.849998474121094,51.02000045776367,50.209999084472656,50.65999984741211,551300,0.008328339607450053,0.346233104553865
2016-10-24,50.52000045776367,50.97999954223633,49.619998931884766,50.849998474121094,623398,-0.006489636701274781,0.30733343268333646
2016-10-25,49.959999084472656,50.93000030517578,49.27000045776367,50.4900016784668,553778,-0.011084746005875279,0.2972007273663034
2016-10-26,49.18000030517578,50.099998474121094,48.869998931884766,49.310001373291016,679320,-0.015612465844485834,0.2830441521580893
2016-10-27,49.720001220703125,50.060001373291016,49.0,49.220001220703125,543173,0.010980091748200138,0.22011909033289695
2016-10-28,48.70000076293945,49.810001373291016,48.41999816894531,49.61000061035156,550081,-0.02051489204990098,0.2286606062756475
2016-10-31,46.86000061035156,48.7400016784668,46.630001068115234,48.25,649237,-0.03778234340374231,0.2646680062335806
2016-11-01,46.66999816894531,47.349998474121094,46.20000076293945,46.77000045776367,834989,-0.004054682862387304,0.2601801973164227
2016-11-02,45.34000015258789,46.470001220703125,44.959999084472656,46.31999969482422,674322,-0.028497923045611273,0.2765449898070274
2016-11-03,44.65999984741211,45.900001525878906,44.369998931884766,45.47999954223633,540439,-0.01499780112234883,0.2602568699195808
2016-11-04,44.06999969482422,44.869998931884766,43.56999969482422,44.630001068115234,736685,-0.013210930465824444,0.25304188067000166
2016-11-07,44.88999938964844,45.0099983215332,44.11000061035156,44.45000076293945,605733,0.018606755173645295,0.26713500640665533
2016-11-08,44.97999954223633,45.38999938964844,44.40999984741211,44.970001220703125,669639,0.002004904295201282,0.2523996159420768
2016-11-09,45.27000045776367,45.95000076293945,43.06999969482422,44.81999969482422,946512,0.0064473303352312605,0.2549972866169959
2016-11-10,44.65999984741211,45.63999938964844,44.25,45.310001373291016,686338,-0.013474720657904227,0.2537017253788201
2016-11-14,43.31999969482422,43.810001373291016,42.20000076293945,43.20000076293945,704766,-0.030004481799512095,0.26699146033546134
2016-11-15,45.810001373291016,46.09000015258789,43.54999923706055,43.7599983215332,706177,0.057479263527425495,0.35238246850704685
2016-11-16,45.56999969482422,46.40999984741211,45.029998779296875,45.77000045776367,658169,-0.005239067261995967,0.3499467053963661
2016-11-17,45.41999816894531,46.58000183105469,44.880001068115234,45.369998931884766,284874,-0.0032916727426693937,0.33073843215792087
2016-11-18,45.689998626708984,45.77000045776367,44.54999923706055,44.93000030517578,155651,0.0059445281516605775,0.32736285246425234
2016-11-21,47.4900016784668,47.79999923706055,45.77000045776367,45.83000183105469,665326,0.03939599706412733,0.36067140975823625
2016-11-22,48.029998779296875,49.20000076293945,47.16999816894531,48.369998931884766,826208,0.01137075345851013,0.3640471890825679
2016-11-23,47.959999084472656,48.43000030517578,47.400001525878906,47.939998626708984,556861,-0.001457416127488842,0.36255874311564074
2016-11-25,46.060001373291016,48.2599983215332,45.880001068115234,47.970001220703125,465977,-0.03961629998856231,0.3840657787084678
2016-11-28,47.08000183105469,47.650001525878906,45.13999938964844,45.43000030517578,734381,0.022145037502216525,0.391428545424205
2016-11-29,45.22999954223633,46.97999954223633,44.81999969482422,46.880001068115234,732818,-0.03929486441944163,0.4082471330711645
2016-11-30,49.439998626708984,49.900001525878906,45.220001220703125,45.2400016784668,1311000,0.09307979498300245,0.5128414644050507
2016-12-01,51.060001373291016,51.79999923706055,48.97999954223633,49.06999969482422,974805,0.03276704675527342,0.5225289233782917
2016-12-02,51.68000030517578,51.72999954223633,50.18000030517578,51.0099983215332,667099,0.012142556114561387,0.507667855993374
2016-12-05,51.790000915527344,52.41999816894531,50.93000030517578,51.459999084472656,600782,0.002128494769775502,0.501408729611426
2016-12-06,50.93000030517578,51.599998474121094,50.279998779296875,50.970001220703125,642746,-0.016605533793179084,0.503444657403534
2016-12-07,49.77000045776367,51.20000076293945,49.720001220703125,50.93000030517578,816879,-0.02277635657689603,0.5129239791916492
